,IdPrq,Nombre,Status,Codigo Postal
0,bfe0c547f7454edbb7c859b15a8832bd,Salazar,No existe,42219
1,86d76fe73a1e40caab6bd4aa002f77f3,Kramer,En vigencia,81167
2,4c7216d2e3bd443988b7f7ddee45d1d6,Young,No existe,74178
3,1dfec635a1c84e8aa3632f62732548e4,Berry,No existe,15587
4,a3ccfaa1952e4d0fa96a3f1cd8ddf136,Matthews,En vigencia,65245
5,d7a34ac896534599a06d95b2ef8fc49a,Taylor,En vigencia,09131
6,91f2ad06e6a14bcd84163330b28de33e,Jones,En vigencia,36640
7,a900ef6dc41443798a52c2dc6af93ca9,Martin,En vigencia,01100
8,3a7bab61d2684e75b64ed3b3d31c87cd,Rodriguez,No existe,94308
9,961bf1cf6d714dd2acfb60c13352ae3b,Kelley,En vigencia,02287
10,9b35fab59faa48abbb62b1870e7335a3,Leonard,En vigencia,57186
11,3509559ceadf4301a0a4861ccc351771,Sanchez,En vigencia,73617
12,0f07b141872240fd95f5d00cdb123f0c,Flowers,En vigencia,64266
13,19b8dfc33a034e22b826e3f399f4f284,Hopkins,En vigencia,82416
14,c6f101f9fa3b480fbeffb6185e298ab8,Salazar,En vigencia,20138
15,8a6ecb51cd554e5ab0917a35f61b898d,Adams,No existe,83645
16,2d2556f68ef5461681e69a959a208c80,Schaefer,En vigencia,28544
17,959d4ace84da4dbeac714b140030291a,Cortez,No existe,09533
18,764761dcd7c444b482b5d697f4e00391,Robles,En vigencia,08058
19,25096a7c3b1d4d73b561ef81a791fab5,Greene,En vigencia,89598
20,19498d2698804a6b961cf0692dd4ca36,Morgan,En vigencia,50169
21,0562b2aff6c94ad1b7024a743e7b9a1e,Roberts,En vigencia,89228
22,0ff03ff7ea9940d181eebb15a576bb17,Chen,En vigencia,13317
23,664c33e3332d4ca09f820929d31ee52c,Hansen,En vigencia,14622
24,16f10768afc446aaa35fcd8084b701e3,Baldwin,En vigencia,41807
25,1b53c6fe440c4279933ea097198ca13d,Fritz,En vigencia,65969
26,c95a4cc3277f4551b236ad324099f419,Terrell,No existe,67148
27,6272de13ee9c4854a78c0ea8123dd299,Fisher,En vigencia,17427
28,c5989492446d4744941642fa5114a386,Reed,En vigencia,99944
29,78173a7c35d94c44b2243f552f4f3a13,Bowen,En vigencia,02614
30,5a9939079c6a40ecbb49c53b607b5e7c,Davis,En vigencia,62774
